game_id,name,category,difficulty,setting,reachable_base_records,native_bank_bucket,reuses_other_setting_records,runtime_or_rule_domain
1,NUMBER BASEBALL,GUESS,EASY,STANDARD,0,0,0,10^4 repeat-allowed digit secrets; seeded runtime selection
1,NUMBER BASEBALL,GUESS,NORMAL,STANDARD,0,0,0,10^5 repeat-allowed digit secrets; seeded runtime selection
1,NUMBER BASEBALL,GUESS,HARD,STANDARD,0,0,0,10^6 repeat-allowed digit secrets; seeded runtime selection
1,NUMBER BASEBALL,GUESS,MASTER,STANDARD,0,0,0,10^7 repeat-allowed digit secrets; seeded runtime selection
2,EQUATION GUESS,GUESS,EASY,STANDARD,30,30,0,
2,EQUATION GUESS,GUESS,EASY,SHORT,30,30,0,
2,EQUATION GUESS,GUESS,EASY,LONG,30,30,0,
2,EQUATION GUESS,GUESS,NORMAL,STANDARD,30,30,0,
2,EQUATION GUESS,GUESS,NORMAL,SHORT,30,30,0,
2,EQUATION GUESS,GUESS,NORMAL,LONG,30,30,0,
2,EQUATION GUESS,GUESS,HARD,STANDARD,30,30,0,
2,EQUATION GUESS,GUESS,HARD,SHORT,30,30,0,
2,EQUATION GUESS,GUESS,HARD,LONG,30,30,0,
2,EQUATION GUESS,GUESS,MASTER,STANDARD,30,30,0,
2,EQUATION GUESS,GUESS,MASTER,SHORT,30,30,0,
2,EQUATION GUESS,GUESS,MASTER,LONG,30,30,0,
3,NUMBER MIND,GUESS,EASY,STANDARD,30,30,0,
3,NUMBER MIND,GUESS,NORMAL,STANDARD,30,30,0,
3,NUMBER MIND,GUESS,HARD,STANDARD,30,30,0,
3,NUMBER MIND,GUESS,MASTER,STANDARD,30,30,0,
4,CLUE LOCK,GUESS,EASY,STANDARD,30,30,0,
4,CLUE LOCK,GUESS,NORMAL,STANDARD,30,30,0,
4,CLUE LOCK,GUESS,HARD,STANDARD,30,30,0,
4,CLUE LOCK,GUESS,MASTER,STANDARD,30,30,0,
5,SEQUENCE DETECTIVE,GUESS,EASY,STANDARD,30,30,0,
5,SEQUENCE DETECTIVE,GUESS,NORMAL,STANDARD,30,30,0,
5,SEQUENCE DETECTIVE,GUESS,HARD,STANDARD,30,30,0,
5,SEQUENCE DETECTIVE,GUESS,MASTER,STANDARD,30,30,0,
33,BLACK BOX,GUESS,EASY,STANDARD,0,0,0,seeded atom layouts; ray-equivalent layouts may share clues
33,BLACK BOX,GUESS,NORMAL,STANDARD,0,0,0,seeded atom layouts; ray-equivalent layouts may share clues
33,BLACK BOX,GUESS,HARD,STANDARD,0,0,0,seeded atom layouts; ray-equivalent layouts may share clues
33,BLACK BOX,GUESS,MASTER,STANDARD,0,0,0,seeded atom layouts; ray-equivalent layouts may share clues
6,MAKE TARGET,CALC,EASY,10,200,1000,0,
6,MAKE TARGET,CALC,EASY,24,200,1000,0,
6,MAKE TARGET,CALC,EASY,50,200,1000,0,
6,MAKE TARGET,CALC,EASY,100,200,1000,0,
6,MAKE TARGET,CALC,EASY,200,200,1000,0,
6,MAKE TARGET,CALC,EASY,RANDOM,1000,1000,1,
6,MAKE TARGET,CALC,NORMAL,10,200,1000,0,
6,MAKE TARGET,CALC,NORMAL,24,200,1000,0,
6,MAKE TARGET,CALC,NORMAL,50,200,1000,0,
6,MAKE TARGET,CALC,NORMAL,100,200,1000,0,
6,MAKE TARGET,CALC,NORMAL,200,200,1000,0,
6,MAKE TARGET,CALC,NORMAL,RANDOM,1000,1000,1,
6,MAKE TARGET,CALC,HARD,10,200,1000,0,
6,MAKE TARGET,CALC,HARD,24,200,1000,0,
6,MAKE TARGET,CALC,HARD,50,200,1000,0,
6,MAKE TARGET,CALC,HARD,100,200,1000,0,
6,MAKE TARGET,CALC,HARD,200,200,1000,0,
6,MAKE TARGET,CALC,HARD,RANDOM,1000,1000,1,
6,MAKE TARGET,CALC,MASTER,10,200,1000,0,
6,MAKE TARGET,CALC,MASTER,24,200,1000,0,
6,MAKE TARGET,CALC,MASTER,50,200,1000,0,
6,MAKE TARGET,CALC,MASTER,100,200,1000,0,
6,MAKE TARGET,CALC,MASTER,200,200,1000,0,
6,MAKE TARGET,CALC,MASTER,RANDOM,1000,1000,1,
7,COUNTDOWN,CALC,EASY,STANDARD,200,200,0,
7,COUNTDOWN,CALC,NORMAL,STANDARD,200,200,0,
7,COUNTDOWN,CALC,HARD,STANDARD,200,200,0,
7,COUNTDOWN,CALC,MASTER,STANDARD,200,200,0,
8,MISSING OPERATORS,CALC,EASY,STANDARD,0,0,0,bounded runtime operator construction; no finite shipped bank
8,MISSING OPERATORS,CALC,NORMAL,STANDARD,0,0,0,bounded runtime operator construction; no finite shipped bank
8,MISSING OPERATORS,CALC,HARD,STANDARD,0,0,0,bounded runtime operator construction; no finite shipped bank
8,MISSING OPERATORS,CALC,MASTER,STANDARD,30,30,0,
9,CROSS MATH,CALC,EASY,STANDARD,30,30,0,
9,CROSS MATH,CALC,NORMAL,STANDARD,30,30,0,
9,CROSS MATH,CALC,HARD,STANDARD,30,30,0,
9,CROSS MATH,CALC,MASTER,STANDARD,30,30,0,
10,PRIME FACTOR,CALC,EASY,STANDARD,128,128,0,
10,PRIME FACTOR,CALC,NORMAL,STANDARD,256,256,0,
10,PRIME FACTOR,CALC,HARD,STANDARD,256,256,0,
10,PRIME FACTOR,CALC,MASTER,STANDARD,256,256,0,
34,CRYPTARITHM,CALC,EASY,STANDARD,30,30,0,
34,CRYPTARITHM,CALC,NORMAL,STANDARD,30,30,0,
34,CRYPTARITHM,CALC,HARD,STANDARD,30,30,0,
34,CRYPTARITHM,CALC,MASTER,STANDARD,30,30,0,
11,SUDOKU,LOGIC,EASY,STANDARD,50,50,0,
11,SUDOKU,LOGIC,NORMAL,STANDARD,50,50,0,
11,SUDOKU,LOGIC,HARD,STANDARD,50,50,0,
11,SUDOKU,LOGIC,MASTER,STANDARD,50,50,0,
11,SUDOKU,LOGIC,HELL,STANDARD,30,30,0,
12,CALCUDOKU,LOGIC,EASY,STANDARD,50,50,0,
12,CALCUDOKU,LOGIC,NORMAL,STANDARD,50,50,0,
12,CALCUDOKU,LOGIC,HARD,STANDARD,50,50,0,
12,CALCUDOKU,LOGIC,MASTER,STANDARD,50,50,0,
12,CALCUDOKU,LOGIC,HELL,STANDARD,30,30,0,
13,KAKURO,LOGIC,EASY,STANDARD,50,50,0,
13,KAKURO,LOGIC,NORMAL,STANDARD,50,50,0,
13,KAKURO,LOGIC,HARD,STANDARD,50,50,0,
