puzzle_id,difficulty,cards,target,minimal_complexity_score,fractional_steps,division_steps,subtraction_steps,tree_depth,max_denominator,solution_count,easiest_expression,generator_witness,old_difficulty,new_difficulty,decision,unary_steps,negative_intermediate_steps,max_intermediate_magnitude,raw_minimal_tuple
240,EASY,16 10 7 1,1,8259,0,0,1,2,1,8208,((10+7)-(1*16)),1*7+10-16,NEW RECORD,EASY,ACCEPTED / EXHAUSTIVE COMPLEXITY GRADING,0,0,17,"[0, 0, 0, 3, 1]"
241,EASY,13 4 10 1,1,8259,0,0,1,2,1,8208,((10+4)-(1*13)),1*10+4-13,NEW RECORD,EASY,ACCEPTED / EXHAUSTIVE COMPLEXITY GRADING,0,0,14,"[0, 0, 0, 3, 1]"
242,EASY,13 8 7 1,2,8260,0,0,1,2,1,4464,((7+8)-(1*13)),1*8+7-13,NEW RECORD,EASY,ACCEPTED / EXHAUSTIVE COMPLEXITY GRADING,0,0,15,"[0, 0, 0, 3, 1]"
243,EASY,8 7 3 1,2,8260,0,0,1,2,1,6768,((3+7)-(1*8)),1*3+7-8,NEW RECORD,EASY,ACCEPTED / EXHAUSTIVE COMPLEXITY GRADING,0,0,10,"[0, 0, 0, 3, 1]"
244,EASY,14 1 10 7,3,8260,0,0,1,2,1,4464,((10+7)-(1*14)),1*7+10-14,NEW RECORD,EASY,ACCEPTED / EXHAUSTIVE COMPLEXITY GRADING,0,0,17,"[0, 0, 0, 3, 1]"
245,EASY,9 8 2 2,3,8293,0,0,1,3,1,3108,(((2*2)+8)-9),2*2+8-9,NEW RECORD,EASY,ACCEPTED / EXHAUSTIVE COMPLEXITY GRADING,0,0,12,"[0, 0, 0, 3, 1]"
246,EASY,3 2 2 4,4,8260,0,0,1,2,1,4608,((2*2)*(4-3)),2*3+2-4,NEW RECORD,EASY,ACCEPTED / EXHAUSTIVE COMPLEXITY GRADING,0,0,4,"[0, 0, 0, 3, 1]"
247,EASY,6 6 1 8,4,8261,0,0,1,2,1,2808,((6+6)-(1*8)),1*6+6-8,NEW RECORD,EASY,ACCEPTED / EXHAUSTIVE COMPLEXITY GRADING,0,0,12,"[0, 0, 0, 3, 1]"
248,EASY,4 1 10 9,5,8260,0,0,1,2,1,6528,((1*4)+(10-9)),1*10+4-9,NEW RECORD,EASY,ACCEPTED / EXHAUSTIVE COMPLEXITY GRADING,0,0,10,"[0, 0, 0, 3, 1]"
249,EASY,5 1 12 12,5,8259,0,0,1,2,1,10512,((1*5)+(12-12)),1*12+5-12,NEW RECORD,EASY,ACCEPTED / EXHAUSTIVE COMPLEXITY GRADING,0,0,12,"[0, 0, 0, 3, 1]"
250,EASY,1 9 4 7,6,8260,0,0,1,2,1,4944,((1*4)+(9-7)),1*9+4-7,NEW RECORD,EASY,ACCEPTED / EXHAUSTIVE COMPLEXITY GRADING,0,0,9,"[0, 0, 0, 3, 1]"
251,EASY,1 12 6 12,6,8259,0,0,1,2,1,10368,((1*6)+(12-12)),1*12+6-12,NEW RECORD,EASY,ACCEPTED / EXHAUSTIVE COMPLEXITY GRADING,0,0,12,"[0, 0, 0, 3, 1]"
252,EASY,10 5 1 2,7,8260,0,0,1,2,1,4896,((1*2)+(10-5)),1*10+2-5,NEW RECORD,EASY,ACCEPTED / EXHAUSTIVE COMPLEXITY GRADING,0,0,10,"[0, 0, 0, 3, 1]"
253,EASY,9 1 8 6,7,8260,0,0,1,2,1,5616,((1*6)+(9-8)),1*9+6-8,NEW RECORD,EASY,ACCEPTED / EXHAUSTIVE COMPLEXITY GRADING,0,0,9,"[0, 0, 0, 3, 1]"
254,EASY,1 13 9 12,8,8260,0,0,1,2,1,5616,((12+9)-(1*13)),1*12+9-13,NEW RECORD,EASY,ACCEPTED / EXHAUSTIVE COMPLEXITY GRADING,0,0,21,"[0, 0, 0, 3, 1]"
255,EASY,5 6 8 2,8,8294,0,0,1,3,1,1584,(((2*5)+6)-8),5*2+6-8,NEW RECORD,EASY,ACCEPTED / EXHAUSTIVE COMPLEXITY GRADING,0,0,16,"[0, 0, 0, 3, 1]"
256,EASY,1 7 4 12,9,8260,0,0,1,2,1,4992,((1*4)+(12-7)),1*12+4-7,NEW RECORD,EASY,ACCEPTED / EXHAUSTIVE COMPLEXITY GRADING,0,0,12,"[0, 0, 0, 3, 1]"
257,EASY,5 2 3 2,9,8262,0,0,1,2,1,1440,((2*3)+(5-2)),5*2+2-3,NEW RECORD,EASY,ACCEPTED / EXHAUSTIVE COMPLEXITY GRADING,0,0,9,"[0, 0, 0, 3, 1]"
258,EASY,11 5 2 8,10,8260,0,0,1,2,1,4104,((11-8)+(2+5)),2*8+5-11,NEW RECORD,EASY,ACCEPTED / EXHAUSTIVE COMPLEXITY GRADING,0,0,11,"[0, 0, 0, 3, 1]"
259,EASY,5 4 7 3,10,8261,0,0,1,2,1,2160,((3+7)*(5-4)),4*3+5-7,NEW RECORD,EASY,ACCEPTED / EXHAUSTIVE COMPLEXITY GRADING,0,0,10,"[0, 0, 0, 3, 1]"
260,EASY,1 6 5 12,11,8260,0,0,1,2,1,6096,((1*5)+(12-6)),1*12+5-6,NEW RECORD,EASY,ACCEPTED / EXHAUSTIVE COMPLEXITY GRADING,0,0,12,"[0, 0, 0, 3, 1]"
261,EASY,2 5 6 6,11,8295,0,0,1,3,1,624,(((2*6)+5)-6),2*6+5-6,NEW RECORD,EASY,ACCEPTED / EXHAUSTIVE COMPLEXITY GRADING,0,0,17,"[0, 0, 0, 3, 1]"
262,EASY,3 6 8 2,12,8261,0,0,1,2,1,3648,((2*3)*(8-6)),3*6+2-8,NEW RECORD,EASY,ACCEPTED / EXHAUSTIVE COMPLEXITY GRADING,0,0,12,"[0, 0, 0, 3, 1]"
263,EASY,14 10 2 6,12,8260,0,0,1,2,1,5880,((10+14)-(2*6)),2*10+6-14,NEW RECORD,EASY,ACCEPTED / EXHAUSTIVE COMPLEXITY GRADING,0,0,24,"[0, 0, 0, 3, 1]"
264,EASY,4 2 3 7,13,8262,0,0,1,2,1,1296,((3*7)-(2*4)),2*7+3-4,NEW RECORD,EASY,ACCEPTED / EXHAUSTIVE COMPLEXITY GRADING,0,0,21,"[0, 0, 0, 3, 1]"
265,EASY,5 5 7 3,13,8295,0,0,1,3,1,576,(((3*5)+5)-7),5*3+5-7,NEW RECORD,EASY,ACCEPTED / EXHAUSTIVE COMPLEXITY GRADING,0,0,20,"[0, 0, 0, 3, 1]"
266,EASY,2 16 12 6,14,8262,0,0,1,2,1,1584,((16*2)-(12+6)),2*12+6-16,NEW RECORD,EASY,ACCEPTED / EXHAUSTIVE COMPLEXITY GRADING,0,0,32,"[0, 0, 0, 3, 1]"
267,EASY,13 6 3 9,14,8294,0,0,1,3,1,1440,(((3*6)+9)-13),3*6+9-13,NEW RECORD,EASY,ACCEPTED / EXHAUSTIVE COMPLEXITY GRADING,0,0,27,"[0, 0, 0, 3, 1]"
268,EASY,10 5 5 4,15,8262,0,0,1,2,1,1944,((10*4)-(5*5)),4*5+5-10,NEW RECORD,EASY,ACCEPTED / EXHAUSTIVE COMPLEXITY GRADING,0,0,40,"[0, 0, 0, 3, 1]"
269,EASY,2 11 9 2,15,8296,0,0,1,3,1,432,(((11*2)+2)-9),2*11+2-9,NEW RECORD,EASY,ACCEPTED / EXHAUSTIVE COMPLEXITY GRADING,0,0,24,"[0, 0, 0, 3, 1]"
270,EASY,10 3 7 2,16,8261,0,0,1,2,1,3864,((10*3)-(2*7)),2*10+3-7,NEW RECORD,EASY,ACCEPTED / EXHAUSTIVE COMPLEXITY GRADING,0,0,30,"[0, 0, 0, 3, 1]"
271,EASY,5 7 3 6,16,8262,0,0,1,2,1,1104,((3*5)+(7-6)),6*3+5-7,NEW RECORD,EASY,ACCEPTED / EXHAUSTIVE COMPLEXITY GRADING,0,0,16,"[0, 0, 0, 3, 1]"
272,EASY,10 2 10 7,17,8295,0,0,1,3,1,528,(((10*2)+7)-10),2*10+7-10,NEW RECORD,EASY,ACCEPTED / EXHAUSTIVE COMPLEXITY GRADING,0,0,27,"[0, 0, 0, 3, 1]"
273,EASY,10 3 6 9,17,8294,0,0,1,3,1,1104,(((3*6)+9)-10),3*6+9-10,NEW RECORD,EASY,ACCEPTED / EXHAUSTIVE COMPLEXITY GRADING,0,0,27,"[0, 0, 0, 3, 1]"
274,EASY,10 16 6 4,18,8262,0,0,1,2,1,1152,((10*4)-(16+6)),4*6+10-16,NEW RECORD,EASY,ACCEPTED / EXHAUSTIVE COMPLEXITY GRADING,0,0,40,"[0, 0, 0, 3, 1]"
275,EASY,2 8 8 3,18,8295,0,0,1,3,1,576,(((3*8)+2)-8),3*8+2-8,NEW RECORD,EASY,ACCEPTED / EXHAUSTIVE COMPLEXITY GRADING,0,0,26,"[0, 0, 0, 3, 1]"
276,EASY,2 10 5 12,19,8261,0,0,1,2,1,3768,((10+2)+(12-5)),2*12+5-10,NEW RECORD,EASY,ACCEPTED / EXHAUSTIVE COMPLEXITY GRADING,0,0,19,"[0, 0, 0, 3, 1]"
277,EASY,2 2 7 12,19,8260,0,0,1,2,1,5112,((12+2)+(7-2)),2*12+2-7,NEW RECORD,EASY,ACCEPTED / EXHAUSTIVE COMPLEXITY GRADING,0,0,19,"[0, 0, 0, 3, 1]"
278,EASY,6 10 2 12,20,8295,0,0,1,3,1,864,(((10+6)*2)-12),2*12+6-10,NEW RECORD,EASY,ACCEPTED / EXHAUSTIVE COMPLEXITY GRADING,0,0,32,"[0, 0, 0, 3, 1]"
