puzzle_id,difficulty,cards,target,minimal_complexity_score,fractional_steps,division_steps,subtraction_steps,tree_depth,max_denominator,solution_count,easiest_expression,generator_witness,old_difficulty,new_difficulty,decision,unary_steps,negative_intermediate_steps,max_intermediate_magnitude,raw_minimal_tuple
8240,EASY,9 7 3 1,1,8259,0,0,1,2,1,8208,((3+7)-(1*9)),1*7+3-9,NEW RECORD,EASY,ACCEPTED / EXHAUSTIVE COMPLEXITY GRADING,0,0,10,"[0, 0, 0, 3, 1]"
8241,EASY,16 7 10 1,1,8259,0,0,1,2,1,8208,((10+7)-(1*16)),1*10+7-16,NEW RECORD,EASY,ACCEPTED / EXHAUSTIVE COMPLEXITY GRADING,0,0,17,"[0, 0, 0, 3, 1]"
8242,EASY,10 8 4 1,2,8260,0,0,1,2,1,6048,((4+8)-(1*10)),1*8+4-10,NEW RECORD,EASY,ACCEPTED / EXHAUSTIVE COMPLEXITY GRADING,0,0,12,"[0, 0, 0, 3, 1]"
8243,EASY,7 3 6 1,2,8260,0,0,1,2,1,6336,((3+6)-(1*7)),1*3+6-7,NEW RECORD,EASY,ACCEPTED / EXHAUSTIVE COMPLEXITY GRADING,0,0,9,"[0, 0, 0, 3, 1]"
8244,EASY,7 1 2 8,3,8260,0,0,1,2,1,6768,((1*2)+(8-7)),1*8+2-7,NEW RECORD,EASY,ACCEPTED / EXHAUSTIVE COMPLEXITY GRADING,0,0,8,"[0, 0, 0, 3, 1]"
8245,EASY,5 2 2 3,3,8292,0,0,1,3,1,4392,(((2*3)+2)-5),2*3+2-5,NEW RECORD,EASY,ACCEPTED / EXHAUSTIVE COMPLEXITY GRADING,0,0,8,"[0, 0, 0, 3, 1]"
8246,EASY,8 1 5 9,4,8260,0,0,1,2,1,6240,((5+8)-(1*9)),1*5+8-9,NEW RECORD,EASY,ACCEPTED / EXHAUSTIVE COMPLEXITY GRADING,0,0,13,"[0, 0, 0, 3, 1]"
8247,EASY,2 3 4 6,4,8259,0,0,1,2,1,12000,((3*4)-(2+6)),3*2+4-6,NEW RECORD,EASY,ACCEPTED / EXHAUSTIVE COMPLEXITY GRADING,0,0,12,"[0, 0, 0, 3, 1]"
8248,EASY,10 3 1 8,5,8260,0,0,1,2,1,5232,((1*3)+(10-8)),1*10+3-8,NEW RECORD,EASY,ACCEPTED / EXHAUSTIVE COMPLEXITY GRADING,0,0,10,"[0, 0, 0, 3, 1]"
8249,EASY,2 1 12 9,5,8260,0,0,1,2,1,5040,((1*2)+(12-9)),1*12+2-9,NEW RECORD,EASY,ACCEPTED / EXHAUSTIVE COMPLEXITY GRADING,0,0,12,"[0, 0, 0, 3, 1]"
8250,EASY,2 6 3 9,6,8293,0,0,1,3,1,2544,(((2*6)+3)-9),2*6+3-9,NEW RECORD,EASY,ACCEPTED / EXHAUSTIVE COMPLEXITY GRADING,0,0,15,"[0, 0, 0, 3, 1]"
8251,EASY,2 3 4 5,6,8260,0,0,1,2,1,6024,((2*3)*(5-4)),2*4+3-5,NEW RECORD,EASY,ACCEPTED / EXHAUSTIVE COMPLEXITY GRADING,0,0,6,"[0, 0, 0, 3, 1]"
8252,EASY,11 9 1 5,7,8260,0,0,1,2,1,4464,((1*5)+(11-9)),1*11+5-9,NEW RECORD,EASY,ACCEPTED / EXHAUSTIVE COMPLEXITY GRADING,0,0,11,"[0, 0, 0, 3, 1]"
8253,EASY,10 1 10 7,7,8259,0,0,1,2,1,10272,((1*7)+(10-10)),1*10+7-10,NEW RECORD,EASY,ACCEPTED / EXHAUSTIVE COMPLEXITY GRADING,0,0,10,"[0, 0, 0, 3, 1]"
8254,EASY,1 13 10 11,8,8260,0,0,1,2,1,4320,((10+11)-(1*13)),1*11+10-13,NEW RECORD,EASY,ACCEPTED / EXHAUSTIVE COMPLEXITY GRADING,0,0,21,"[0, 0, 0, 3, 1]"
8255,EASY,5 9 1 12,8,8260,0,0,1,2,1,4800,((1*5)+(12-9)),1*12+5-9,NEW RECORD,EASY,ACCEPTED / EXHAUSTIVE COMPLEXITY GRADING,0,0,12,"[0, 0, 0, 3, 1]"
8256,EASY,3 7 10 4,9,8294,0,0,1,3,1,1584,(((3*4)+7)-10),3*4+7-10,NEW RECORD,EASY,ACCEPTED / EXHAUSTIVE COMPLEXITY GRADING,0,0,19,"[0, 0, 0, 3, 1]"
8257,EASY,3 4 1 10,9,8260,0,0,1,2,1,5760,((1*3)+(10-4)),1*10+3-4,NEW RECORD,EASY,ACCEPTED / EXHAUSTIVE COMPLEXITY GRADING,0,0,10,"[0, 0, 0, 3, 1]"
8258,EASY,17 9 2 9,10,8296,0,0,1,3,1,432,(((2*9)+9)-17),2*9+9-17,NEW RECORD,EASY,ACCEPTED / EXHAUSTIVE COMPLEXITY GRADING,0,0,27,"[0, 0, 0, 3, 1]"
8259,EASY,8 3 6 4,10,8294,0,0,1,3,1,1776,(((3*4)+6)-8),3*4+6-8,NEW RECORD,EASY,ACCEPTED / EXHAUSTIVE COMPLEXITY GRADING,0,0,18,"[0, 0, 0, 3, 1]"
8260,EASY,1 3 2 12,11,8260,0,0,1,2,1,5616,((1*2)+(12-3)),1*12+2-3,NEW RECORD,EASY,ACCEPTED / EXHAUSTIVE COMPLEXITY GRADING,0,0,12,"[0, 0, 0, 3, 1]"
8261,EASY,2 5 4 6,11,8294,0,0,1,3,1,1056,(((2*6)+4)-5),2*6+4-5,NEW RECORD,EASY,ACCEPTED / EXHAUSTIVE COMPLEXITY GRADING,0,0,16,"[0, 0, 0, 3, 1]"
8262,EASY,5 5 3 2,12,8262,0,0,1,2,1,1152,((2*5)+(5-3)),5*3+2-5,NEW RECORD,EASY,ACCEPTED / EXHAUSTIVE COMPLEXITY GRADING,0,0,12,"[0, 0, 0, 3, 1]"
8263,EASY,7 12 2 10,12,8294,0,0,1,3,1,1584,(((2*7)+10)-12),7*2+10-12,NEW RECORD,EASY,ACCEPTED / EXHAUSTIVE COMPLEXITY GRADING,0,0,24,"[0, 0, 0, 3, 1]"
