game_id,game,engine,ui,content,save,host,target,hardware,modes,difficulties
1,NUMBER BASEBALL,ENGINE READY,UI READY,CONTENT VERIFIED,SAVE READY,HOST VERIFIED,TARGET BUILT,HARDWARE PENDING,1,4
2,EQUATION GUESS,ENGINE READY,UI READY,CONTENT VERIFIED,SAVE READY,HOST VERIFIED,TARGET BUILT,HARDWARE PENDING,3,4
3,NUMBER MIND,ENGINE READY,UI READY,CONTENT VERIFIED,SAVE READY,HOST VERIFIED,TARGET BUILT,HARDWARE PENDING,1,4
4,CLUE LOCK,ENGINE READY,UI READY,CONTENT VERIFIED,SAVE READY,HOST VERIFIED,TARGET BUILT,HARDWARE PENDING,1,4
5,SEQUENCE DETECTIVE,ENGINE READY,UI READY,CONTENT VERIFIED,SAVE READY,HOST VERIFIED,TARGET BUILT,HARDWARE PENDING,1,4
33,BLACK BOX,ENGINE READY,UI READY,CONTENT VERIFIED,SAVE READY,HOST VERIFIED,TARGET BUILT,HARDWARE PENDING,1,4
6,MAKE TARGET,ENGINE READY,UI READY,CONTENT VERIFIED,SAVE READY,HOST VERIFIED,TARGET BUILT,HARDWARE PENDING,1,4
7,COUNTDOWN,ENGINE READY,UI READY,CONTENT VERIFIED,SAVE READY,HOST VERIFIED,TARGET BUILT,HARDWARE PENDING,1,4
8,MISSING OPERATORS,ENGINE READY,UI READY,CONTENT VERIFIED,SAVE READY,HOST VERIFIED,TARGET BUILT,HARDWARE PENDING,1,4
9,CROSS MATH,ENGINE READY,UI READY,CONTENT VERIFIED,SAVE READY,HOST VERIFIED,TARGET BUILT,HARDWARE PENDING,1,4
10,PRIME FACTOR,ENGINE READY,UI READY,CONTENT VERIFIED,SAVE READY,HOST VERIFIED,TARGET BUILT,HARDWARE PENDING,1,4
34,CRYPTARITHM,ENGINE READY,UI READY,CONTENT VERIFIED,SAVE READY,HOST VERIFIED,TARGET BUILT,HARDWARE PENDING,1,4
11,SUDOKU,ENGINE READY,UI READY,CONTENT VERIFIED,SAVE READY,HOST VERIFIED,TARGET BUILT,HARDWARE PENDING,1,5
12,CALCUDOKU,ENGINE READY,UI READY,CONTENT VERIFIED,SAVE READY,HOST VERIFIED,TARGET BUILT,HARDWARE PENDING,1,5
13,KAKURO,ENGINE READY,UI READY,CONTENT VERIFIED,SAVE READY,HOST VERIFIED,TARGET BUILT,HARDWARE PENDING,1,5
14,FUTOSHIKI,ENGINE READY,UI READY,CONTENT VERIFIED,SAVE READY,HOST VERIFIED,TARGET BUILT,HARDWARE PENDING,1,5
15,SKYSCRAPERS,ENGINE READY,UI READY,CONTENT VERIFIED,SAVE READY,HOST VERIFIED,TARGET BUILT,HARDWARE PENDING,1,5
35,HASHI,ENGINE READY,UI READY,CONTENT VERIFIED,SAVE READY,HOST VERIFIED,TARGET BUILT,HARDWARE PENDING,1,5
16,HITORI,ENGINE READY,UI READY,CONTENT VERIFIED,SAVE READY,HOST VERIFIED,TARGET BUILT,HARDWARE PENDING,1,4
17,BINARY PUZZLE,ENGINE READY,UI READY,CONTENT VERIFIED,SAVE READY,HOST VERIFIED,TARGET BUILT,HARDWARE PENDING,1,4
18,NUMBRIX,ENGINE READY,UI READY,CONTENT VERIFIED,SAVE READY,HOST VERIFIED,TARGET BUILT,HARDWARE PENDING,1,4
19,MAGIC SQUARE,ENGINE READY,UI READY,CONTENT VERIFIED,SAVE READY,HOST VERIFIED,TARGET BUILT,HARDWARE PENDING,2,4
20,SUM GRID,ENGINE READY,UI READY,CONTENT VERIFIED,SAVE READY,HOST VERIFIED,TARGET BUILT,HARDWARE PENDING,1,4
36,NONOGRAM,ENGINE READY,UI READY,CONTENT VERIFIED,SAVE READY,HOST VERIFIED,TARGET BUILT,HARDWARE PENDING,1,4
21,NIM,ENGINE READY,UI READY,CONTENT VERIFIED,SAVE READY,HOST VERIFIED,TARGET BUILT,HARDWARE PENDING,2,4
22,WYTHOFF,ENGINE READY,UI READY,CONTENT VERIFIED,SAVE READY,HOST VERIFIED,TARGET BUILT,HARDWARE PENDING,2,4
23,EUCLID,ENGINE READY,UI READY,CONTENT VERIFIED,SAVE READY,HOST VERIFIED,TARGET BUILT,HARDWARE PENDING,2,4
24,MAKE FIFTEEN,ENGINE READY,UI READY,CONTENT VERIFIED,SAVE READY,HOST VERIFIED,TARGET BUILT,HARDWARE PENDING,2,4
25,RACE TO TARGET,ENGINE READY,UI READY,CONTENT VERIFIED,SAVE READY,HOST VERIFIED,TARGET BUILT,HARDWARE PENDING,2,4
37,REVERSI,ENGINE READY,UI READY,CONTENT VERIFIED,SAVE READY,HOST VERIFIED,TARGET BUILT,HARDWARE PENDING,2,4
26,2048,ENGINE READY,UI READY,CONTENT VERIFIED,SAVE READY,HOST VERIFIED,TARGET BUILT,HARDWARE PENDING,2,1
27,SLIDING PUZZLE,ENGINE READY,UI READY,CONTENT VERIFIED,SAVE READY,HOST VERIFIED,TARGET BUILT,HARDWARE PENDING,2,4
28,LIGHTS OUT,ENGINE READY,UI READY,CONTENT VERIFIED,SAVE READY,HOST VERIFIED,TARGET BUILT,HARDWARE PENDING,2,4
31,SHIKAKU,ENGINE READY,UI READY,CONTENT VERIFIED,SAVE READY,HOST VERIFIED,TARGET BUILT,HARDWARE PENDING,1,4
32,SLITHERLINK,ENGINE READY,UI READY,CONTENT VERIFIED,SAVE READY,HOST VERIFIED,TARGET BUILT,HARDWARE PENDING,1,4
38,NET,ENGINE READY,UI READY,CONTENT VERIFIED,SAVE READY,HOST VERIFIED,TARGET BUILT,HARDWARE PENDING,1,4
